topic_id,topic_title,topic_objective,PID,relevance,article_title,abstract
CD011975,First trimester serum tests for Down's syndrome screening," The aim of this review was to estimate and compare the accuracy of first trimester serum markers for the detection of Down’s syndrome in the antenatal period, both as individual markers and as combinations of markers. Accuracy is described by the proportion of fetuses with Down’s syndrome detected by screening before birth (sensitivity or detection rate), and the proportion of women with a low risk (normal) screening test result who subsequently had a baby unaffected by Down's syndrome (specificity). Investigation of sources of heterogeneity We planned to investigate whether a uniform screening test is suitable for all women, or whether different screening methods are more applicable to different groups, defined by advanced maternal age, ethnic groups and aspects of the pregnancy and medical history such as multiple pregnancy, diabetes and family history of Down's syndrome. We also considered whether there existed evidence of overestimation of test accuracy in studies evaluating risk equations in the derivation sample rather than in a separate validation sample.",7677679,1,Maternal serum screening and routine 18-week ultrasound in the detection of all chromosomal abnormalities.,"Over a 15-month period, maternal serum screening (alpha fetoprotein, oestriol, chorionic gonadotrophin) and ultrasound were evaluated in the detection of all chromosomal abnormalities. Of the 981 screened, there were 8 chromosomally abnormal pregnancies. Six of these were considered to be at increased risk on serum screening, all of which were detected. Of the remaining 2, one was detected by ultrasound and the other resulted in a liveborn baby with trisomy 21. The positive and negative predictive values for serum screening for all chromosomal abnormalities was 7.8% and 99.9% respectively. The sensitivity and specificity was 87.5% and 91.5% respectively. Serum screening is useful in the detection of many chromosomal abnormalities, not just Down syndrome. The combination of maternal serum screening and ultrasound has a high negative predictive value and is valuable in providing reassurance of no underlying chromosomal abnormality. With a positive predictive value of 7.8% a chromosomal abnormality will be found once in every 13 amniocenteses performed."
CD011975,First trimester serum tests for Down's syndrome screening," The aim of this review was to estimate and compare the accuracy of first trimester serum markers for the detection of Down’s syndrome in the antenatal period, both as individual markers and as combinations of markers. Accuracy is described by the proportion of fetuses with Down’s syndrome detected by screening before birth (sensitivity or detection rate), and the proportion of women with a low risk (normal) screening test result who subsequently had a baby unaffected by Down's syndrome (specificity). Investigation of sources of heterogeneity We planned to investigate whether a uniform screening test is suitable for all women, or whether different screening methods are more applicable to different groups, defined by advanced maternal age, ethnic groups and aspects of the pregnancy and medical history such as multiple pregnancy, diabetes and family history of Down's syndrome. We also considered whether there existed evidence of overestimation of test accuracy in studies evaluating risk equations in the derivation sample rather than in a separate validation sample.",7678369,1,Free alpha-subunit of human chorionic gonadotropin in Down syndrome.,The purpose of this study was to evaluate the potential value of maternal serum free alpha-subunit of human chorionic gonadotropin concentrations in discriminating between pregnancies associated with Down syndrome and normal matched controls.
CD011975,First trimester serum tests for Down's syndrome screening," The aim of this review was to estimate and compare the accuracy of first trimester serum markers for the detection of Down’s syndrome in the antenatal period, both as individual markers and as combinations of markers. Accuracy is described by the proportion of fetuses with Down’s syndrome detected by screening before birth (sensitivity or detection rate), and the proportion of women with a low risk (normal) screening test result who subsequently had a baby unaffected by Down's syndrome (specificity). Investigation of sources of heterogeneity We planned to investigate whether a uniform screening test is suitable for all women, or whether different screening methods are more applicable to different groups, defined by advanced maternal age, ethnic groups and aspects of the pregnancy and medical history such as multiple pregnancy, diabetes and family history of Down's syndrome. We also considered whether there existed evidence of overestimation of test accuracy in studies evaluating risk equations in the derivation sample rather than in a separate validation sample.",7677967,1,"A prospective evaluation of a second-trimester screening test for fetal Down syndrome using maternal serum alpha-fetoprotein, hCG, and unconjugated estriol.","To test the efficacy of a screening protocol using a combination of maternal age plus three biochemical markers--maternal serum alpha-fetoprotein (MSAFP), hCG, and unconjugated estriol (E3)--for the antenatal detection of fetal Down syndrome."
CD011515,Diagnostic accuracy of different imaging modalities following computed tomography (CT) scanning for assessing the resectability with curative intent in pancreatic and periampullary cancer," To determine the diagnostic accuracy of MRI, PET scan, and EUS performed as an add-on test or PET-CT as an add-on or replacement test to CT scanning in detecting curative resectability in pancreatic and periampullary cancer.",18332991,1,"Pancreatic carcinomas smaller than 3.0 cm: endosonography (EUS) in diagnosis, staging and prediction of resectability.",The size of a pancreatic carcinoma determines prognosis and resection. The aim of this study was to review our clinical experience with endoscopic ultrasound (EUS) in diagnosing and staging pancreatic tumours <3.0 in diameter.
CD011515,Diagnostic accuracy of different imaging modalities following computed tomography (CT) scanning for assessing the resectability with curative intent in pancreatic and periampullary cancer," To determine the diagnostic accuracy of MRI, PET scan, and EUS performed as an add-on test or PET-CT as an add-on or replacement test to CT scanning in detecting curative resectability in pancreatic and periampullary cancer.",18330088,1,"Is combined 18F-fluorodeoxyglucose-positron emission tomography/computed tomography superior to positron emission tomography or computed tomography alone for diagnosis, staging and restaging of pancreatic lesions?","To evaluate whether combined 18F-FDG PET/CT has an additive value over 18F-FDG-PET or CT alone for diagnosis, staging and restaging of pancreatic lesions."
CD011515,Diagnostic accuracy of different imaging modalities following computed tomography (CT) scanning for assessing the resectability with curative intent in pancreatic and periampullary cancer," To determine the diagnostic accuracy of MRI, PET scan, and EUS performed as an add-on test or PET-CT as an add-on or replacement test to CT scanning in detecting curative resectability in pancreatic and periampullary cancer.",15497081,1,[Diagnosis and staging of pancreatic carcinoma: MRI versus multislice-CT -- a prospective study].,To evaluate multislice-CT versus MRI in the diagnosis and staging of pancreatic carcinoma in a prospective multi-reader analysis.
CD011515,Diagnostic accuracy of different imaging modalities following computed tomography (CT) scanning for assessing the resectability with curative intent in pancreatic and periampullary cancer," To determine the diagnostic accuracy of MRI, PET scan, and EUS performed as an add-on test or PET-CT as an add-on or replacement test to CT scanning in detecting curative resectability in pancreatic and periampullary cancer.",18332991,1,"Pancreatic carcinomas smaller than 3.0 cm: endosonography (EUS) in diagnosis, staging and prediction of resectability.",The size of a pancreatic carcinoma determines prognosis and resection. The aim of this study was to review our clinical experience with endoscopic ultrasound (EUS) in diagnosing and staging pancreatic tumours <3.0 in diameter.
CD008782,Plasma and cerebrospinal fluid amyloid beta for the diagnosis of Alzheimer's disease dementia and other dementias in people with mild cognitive impairment (MCI),To determine the accuracy of plasma and CSF Aß levels in identifying those participants with MCI at baseline who will convert to Alzheimer’s disease dementia or other forms of dementia over time.,19939224,1,Combination of P300 and CSF β-amyloid(1-42) assays may provide a potential tool in the early diagnosis of Alzheimer's disease.,The aim of this study was to investigate the diagnostic role of CSF beta amyloid(1-42) levels and auditory event-related potentials (AERPs) in the progression of mild cognitive impairment (MCI) to Alzheimer's disease (AD).
CD008782,Plasma and cerebrospinal fluid amyloid beta for the diagnosis of Alzheimer's disease dementia and other dementias in people with mild cognitive impairment (MCI),To determine the accuracy of plasma and CSF Aß levels in identifying those participants with MCI at baseline who will convert to Alzheimer’s disease dementia or other forms of dementia over time.,21670386,1,Longitudinal change of biomarkers in cognitive decline.,"To delineate the trajectories of Aβ42 level in cerebrospinal fluid (CSF), fludeoxyglucose F18 (FDG) uptake using positron emission tomography, and hippocampal volume using magnetic resonance imaging and their relative associations with cognitive change at different stages in aging and Alzheimer disease (AD)."
CD008782,Plasma and cerebrospinal fluid amyloid beta for the diagnosis of Alzheimer's disease dementia and other dementias in people with mild cognitive impairment (MCI),To determine the accuracy of plasma and CSF Aß levels in identifying those participants with MCI at baseline who will convert to Alzheimer’s disease dementia or other forms of dementia over time.,19939224,1,Combination of P300 and CSF β-amyloid(1-42) assays may provide a potential tool in the early diagnosis of Alzheimer's disease.,The aim of this study was to investigate the diagnostic role of CSF beta amyloid(1-42) levels and auditory event-related potentials (AERPs) in the progression of mild cognitive impairment (MCI) to Alzheimer's disease (AD).
CD008782,Plasma and cerebrospinal fluid amyloid beta for the diagnosis of Alzheimer's disease dementia and other dementias in people with mild cognitive impairment (MCI),To determine the accuracy of plasma and CSF Aß levels in identifying those participants with MCI at baseline who will convert to Alzheimer’s disease dementia or other forms of dementia over time.,21670386,1,Longitudinal change of biomarkers in cognitive decline.,"To delineate the trajectories of Aβ42 level in cerebrospinal fluid (CSF), fludeoxyglucose F18 (FDG) uptake using positron emission tomography, and hippocampal volume using magnetic resonance imaging and their relative associations with cognitive change at different stages in aging and Alzheimer disease (AD)."
CD008782,Plasma and cerebrospinal fluid amyloid beta for the diagnosis of Alzheimer's disease dementia and other dementias in people with mild cognitive impairment (MCI),To determine the accuracy of plasma and CSF Aß levels in identifying those participants with MCI at baseline who will convert to Alzheimer’s disease dementia or other forms of dementia over time.,19965857,1,Two-year outcome of MCI subtypes and aetiologies in the Göteborg MCI study.,The objective was to study the 2-year outcome of subjects diagnosed as having mild cognitive impairment (MCI).
CD010386,11C-PIB-PET for the early diagnosis of Alzheimer’s disease dementia and other dementias in people with mild cognitive impairment (MCI), To determine the diagnostic accuracy of the 11C- PIB-PET scan as the index test for detecting participants with mild cognitive impairment (MCI) at baseline who would clinically convert to Alzheimer’s disease dementia (ADD) or other forms of dementia at follow-up.,20176414,1,Lack of association between 11C-PiB and longitudinal brain atrophy in non-demented older individuals.,"Amyloid-β plaques (Aβ) are a hallmark of Alzheimer's disease (AD), begin deposition decades before the incipient disease, and are thought to be associated with neuronal loss, brain atrophy and cognitive impairment. We examine associations between (11)C-PiB-PET measurement of Aβ burden and brain volume changes in the preceding years in 57 non-demented individuals (age 64-86; M=78.7). Participants were prospectively followed through the Baltimore Longitudinal Study of Aging, with up to 10 consecutive MRI scans (M=8.1) and an (11)C-PiB scan approximately 10 years after the initial MRI. Linear mixed effects models were used to determine whether mean cortical (11)C-PiB distribution volume ratios, estimated by fitting a reference tissue model to the measured time activity curves, were associated with longitudinal regional brain volume changes of the whole brain, ventricular CSF, frontal, temporal, parietal, and occipital white and gray matter, the hippocampus, orbito-frontal cortex, and the precuneus. Despite significant longitudinal declines in the volumes of all investigated regions (p<0.05), no associations were detected between current Aβ burden and regional brain volume decline trajectories in the preceding years, nor did the regional volume trajectories differ between those with highest and lowest Aβ burden. Consistent with a threshold model of disease, our findings suggest that Aβ load does not seem to affect brain volume changes in individuals without dementia."
CD008587,Cytology versus HPV testing for cervical cancer screening in the general population," The main objective of this review was to determine the diagnostic accuracy of HPV testing for detecting histologically confirmed CIN 2 or worse (CIN 2+), including adenocarcinoma in situ, in women participating in primary cervical cancer screening; and how it compares to the accuracy of cytological testing (liquid-based and conventional) at various thresholds.",21685039,1,Human papillomavirus (HPV) detection using in situ hybridization in histologic samples: correlations with cytologic changes and polymerase chain reaction HPV detection.,"Although in situ hybridization (ISH) and polymerase chain reaction (PCR) have extensively been used on cytology specimens, there have been limited reports of the usefulness of these techniques in relation to confirmed histologic findings. In this study, we used PCR and ISH to detect human papillomavirus (HPV) in cytologic and histologic specimens, respectively. By using positive and negative likelihood ratios, we attempted to identify any predictive role of ISH testing alone or in combination with PCR for the development of high-grade histologic lesions (cervical intraepithelial neoplasia [CIN] 2+). In our study, ISH was a useful method for detection of HPV, even in a large fraction of samples with normal cytologic or biopsy findings. We suggest that when used together and evaluated in conjunction with histologic sections, ISH is a useful tool for ancillary molecular testing of HPV infection in cervical lesions, especially in CIN 2+ histological lesions where its analytic sensitivities and specificities were as good as those of PCR testing."
CD008587,Cytology versus HPV testing for cervical cancer screening in the general population," The main objective of this review was to determine the diagnostic accuracy of HPV testing for detecting histologically confirmed CIN 2 or worse (CIN 2+), including adenocarcinoma in situ, in women participating in primary cervical cancer screening; and how it compares to the accuracy of cytological testing (liquid-based and conventional) at various thresholds.",21684207,1,Cervical cancer risk for women undergoing concurrent testing for human papillomavirus and cervical cytology: a population-based study in routine clinical practice.,Concurrent testing for human papillomavirus (HPV) and cervical cytology (co-testing) is an approved alternative to cytology alone in women aged 30 years and older. We aimed to assess the safety in routine clinical practice of 3-year screening intervals for women testing negative for HPV with normal cytology and to assess if co-testing can identify women at high risk of cervical cancer or cervical intraepithelial neoplasia grade 3 (CIN3) or worse over 5 years.
CD008587,Cytology versus HPV testing for cervical cancer screening in the general population," The main objective of this review was to determine the diagnostic accuracy of HPV testing for detecting histologically confirmed CIN 2 or worse (CIN 2+), including adenocarcinoma in situ, in women participating in primary cervical cancer screening; and how it compares to the accuracy of cytological testing (liquid-based and conventional) at various thresholds.",15270934,1,Comparison of HPV test versus conventional and automation-assisted Pap screening as potential screening tools for preventing cervical cancer.,To evaluate new techniques in primary cervical cancer screening programmes.
CD009694,Computed tomography (CT) angiography for confirmation of the clinical diagnosis of brain death,"To assess from the current literature the sensitivity of CT cerebral angiography as an additional confirmatory test for diagnosing death using neurological criteria, following satisfaction of clinical neurological criteria for brain death.",19406767,1,CT angiography for brain death diagnosis.,"Lack of cerebral circulation is an important confirmatory test for brain death (BD). Conventional angiography remains the standard imaging method, but CT angiography (CTA) is emerging as an alternative. France accepts BD diagnoses relying on a score based on lack of opacification of 7 intracerebral vessels in CTA images. The purpose of this study was to validate the efficiency of this score and to evaluate the sensitivity of a novel 4-point CTA score in confirming BD."
CD009694,Computed tomography (CT) angiography for confirmation of the clinical diagnosis of brain death,"To assess from the current literature the sensitivity of CT cerebral angiography as an additional confirmatory test for diagnosing death using neurological criteria, following satisfaction of clinical neurological criteria for brain death.",19406767,1,CT angiography for brain death diagnosis.,"Lack of cerebral circulation is an important confirmatory test for brain death (BD). Conventional angiography remains the standard imaging method, but CT angiography (CTA) is emerging as an alternative. France accepts BD diagnoses relying on a score based on lack of opacification of 7 intracerebral vessels in CTA images. The purpose of this study was to validate the efficiency of this score and to evaluate the sensitivity of a novel 4-point CTA score in confirming BD."
CD012009,Amylase in drain fluid for the diagnosis of pancreatic leak in post-pancreatic resection, To determine the diagnostic accuracy of amylase in drain fluid at 48 hours or more for the diagnosis of pancreatic leak in people who had undergone pancreatic resection.,18366393,1,Pancreatoduodenectomy: role of drain fluid analysis in the management of pancreatic fistula.,Pancreatic fistula remains an important cause of death following pancreatoduodenectomy. There is still uncertainty regarding the use of drains following pancreatoduodenectomy with recent reports suggesting that it might be harmful with increased complications. We evaluated the use of drain fluid analysis in the management of patients following pancreatoduodenectomy.
CD012009,Amylase in drain fluid for the diagnosis of pancreatic leak in post-pancreatic resection, To determine the diagnostic accuracy of amylase in drain fluid at 48 hours or more for the diagnosis of pancreatic leak in people who had undergone pancreatic resection.,18366393,1,Pancreatoduodenectomy: role of drain fluid analysis in the management of pancreatic fistula.,Pancreatic fistula remains an important cause of death following pancreatoduodenectomy. There is still uncertainty regarding the use of drains following pancreatoduodenectomy with recent reports suggesting that it might be harmful with increased complications. We evaluated the use of drain fluid analysis in the management of patients following pancreatoduodenectomy.
CD012009,Amylase in drain fluid for the diagnosis of pancreatic leak in post-pancreatic resection, To determine the diagnostic accuracy of amylase in drain fluid at 48 hours or more for the diagnosis of pancreatic leak in people who had undergone pancreatic resection.,25579809,1,Negative predictive value of drain amylase concentration for development of pancreatic fistula after pancreaticoduodenectomy.,"Post-operative pancreatic fistula (POPF) is the major source of morbidity following pancreaticoduodenectomy. A predictive indicator would be highly advantageous. One potential marker is drain amylase concentration (DAC). However, its predictive value has not been fully established."
CD012009,Amylase in drain fluid for the diagnosis of pancreatic leak in post-pancreatic resection, To determine the diagnostic accuracy of amylase in drain fluid at 48 hours or more for the diagnosis of pancreatic leak in people who had undergone pancreatic resection.,25563864,1,Early Drain Removal--The Middle Ground Between the Drain Versus No Drain Debate in Patients Undergoing Pancreaticoduodenectomy: A Prospective Validation Study.,To perform an unbiased assessment of first postoperative day (POD 1) drain amylase level and pancreatic fistula (PF) after pancreaticoduodenectomy (PD).
CD010705,The diagnostic accuracy of the GenoType® MTBDRsl assay for the detection of resistance to second-line anti-tuberculosis drugs,  To assess and compare the diagnostic accuracy of MTBDRsl for the detection of resistance to FQs in patient specimens (using direct testing) and culture isolates (using indirect testing) confirmed as TB positive. To assess and compare the diagnostic accuracy of MTBDRsl for the detection of resistance to SLIDs in patient specimens (using direct testing) and culture isolates (using indirect testing) confirmed as TB positive. To assess and compare the diagnostic accuracy of MTBDRsl for the detection of XDR-TB in patient specimens (using direct testing) and culture isolates (using indirect testing) confirmed as TB positive.,19386845,1,"Feasibility of the GenoType MTBDRsl assay for fluoroquinolone, amikacin-capreomycin, and ethambutol resistance testing of Mycobacterium tuberculosis strains and clinical specimens.","The new GenoType Mycobacterium tuberculosis drug resistance second line (MTBDRsl) assay (Hain Lifescience, Nehren, Germany) was tested on 106 clinical isolates and directly on 64 sputum specimens for the ability to detect resistance to fluoroquinolones, injectable drugs (amikacin or capreomycin), and ethambutol in Mycobacterium tuberculosis strains. A total of 63 strains harboring fluoroquinolone, amikacin/capreomycin, or ethambutol resistance and 43 fully susceptible strains were comparatively analyzed with the new MTBDRsl assay, by DNA sequencing, and by conventional drug susceptibility testing in liquid and solid media. No discrepancies were obtained in comparison with the DNA sequencing results. Fluoroquinolone resistance was detected in 29 (90.6%) of 32, amikacin/capreomycin resistance was detected in 39/39 (84.8%/86.7%) of 46/45, and ethambutol resistance was detected in 36 (69.2%) of 52 resistant strains. A total of 64 sputum specimens (42 smear positive, 12 scanty, and 10 smear negative) were tested with the new MTBDRsl assay, and the results were compared with those of conventional drug susceptibility testing. Fluoroquinolone resistance was detected in 8 (88.9%) of 9, amikacin/capreomycin resistance was detected in 6/7 (75.0%/87.5%) of 8, and ethambutol resistance was detected in 10 (38.5%) of 26 resistant strains. No mutation was detected in susceptible strains. The new GenoType MTBDRsl assay represents a reliable tool for the detection of fluoroquinolone and amikacin/capreomycin resistance and to a lesser extent also ethambutol resistance. In combination with a molecular test for detection of rifampin and isoniazid resistance, the potential for the detection of extensively resistant tuberculosis within 1 to 2 days can be postulated."
CD010705,The diagnostic accuracy of the GenoType® MTBDRsl assay for the detection of resistance to second-line anti-tuberculosis drugs,  To assess and compare the diagnostic accuracy of MTBDRsl for the detection of resistance to FQs in patient specimens (using direct testing) and culture isolates (using indirect testing) confirmed as TB positive. To assess and compare the diagnostic accuracy of MTBDRsl for the detection of resistance to SLIDs in patient specimens (using direct testing) and culture isolates (using indirect testing) confirmed as TB positive. To assess and compare the diagnostic accuracy of MTBDRsl for the detection of XDR-TB in patient specimens (using direct testing) and culture isolates (using indirect testing) confirmed as TB positive.,19386845,1,"Feasibility of the GenoType MTBDRsl assay for fluoroquinolone, amikacin-capreomycin, and ethambutol resistance testing of Mycobacterium tuberculosis strains and clinical specimens.","The new GenoType Mycobacterium tuberculosis drug resistance second line (MTBDRsl) assay (Hain Lifescience, Nehren, Germany) was tested on 106 clinical isolates and directly on 64 sputum specimens for the ability to detect resistance to fluoroquinolones, injectable drugs (amikacin or capreomycin), and ethambutol in Mycobacterium tuberculosis strains. A total of 63 strains harboring fluoroquinolone, amikacin/capreomycin, or ethambutol resistance and 43 fully susceptible strains were comparatively analyzed with the new MTBDRsl assay, by DNA sequencing, and by conventional drug susceptibility testing in liquid and solid media. No discrepancies were obtained in comparison with the DNA sequencing results. Fluoroquinolone resistance was detected in 29 (90.6%) of 32, amikacin/capreomycin resistance was detected in 39/39 (84.8%/86.7%) of 46/45, and ethambutol resistance was detected in 36 (69.2%) of 52 resistant strains. A total of 64 sputum specimens (42 smear positive, 12 scanty, and 10 smear negative) were tested with the new MTBDRsl assay, and the results were compared with those of conventional drug susceptibility testing. Fluoroquinolone resistance was detected in 8 (88.9%) of 9, amikacin/capreomycin resistance was detected in 6/7 (75.0%/87.5%) of 8, and ethambutol resistance was detected in 10 (38.5%) of 26 resistant strains. No mutation was detected in susceptible strains. The new GenoType MTBDRsl assay represents a reliable tool for the detection of fluoroquinolone and amikacin/capreomycin resistance and to a lesser extent also ethambutol resistance. In combination with a molecular test for detection of rifampin and isoniazid resistance, the potential for the detection of extensively resistant tuberculosis within 1 to 2 days can be postulated."
CD010276,Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions," To estimate the diagnostic accuracy of index tests for the detection of oral cancer and potentially malignant disorders of the lip and oral cavity, in patients presenting with clinically evident lesions.",20161875,1,The usefulness of toluidine staining as a diagnostic tool for precancerous and cancerous oropharyngeal and oral cavity lesions.,"Toluidine blue stain is used as a marker to differentiate lesions at high risk of progression in order to improve early diagnosis of oropharyngeal carcinomas. This study focused on 45 oral mucosal lesions in 32 patients (13 female, 19 male). In 9 cases, multiple biopsies were collected. Of the 45 lesions examined, 26 (57.0%) were defined clinically benign, while 19 (42.3%) were defined as suspected lesions (premalignant or malignant). According to the clinical examination, the sensitivity was 53% (16/30) and for toluidine blue staining 96.2% (26/27) (p = 0.0007). The specificity was 80% (12/15) for clinical examination and 77.7% (14/15) for toluidine blue staining (p = 0.79). In conclusion toluidine blue stain has been shown to be a reliable aid when clinical examination is unable to differentiate lesions at high risk of progression and then it improves early diagnosis for oral cavity and oropharyngeal cancer."
CD010276,Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions," To estimate the diagnostic accuracy of index tests for the detection of oral cancer and potentially malignant disorders of the lip and oral cavity, in patients presenting with clinically evident lesions.",15288838,1,The sensitivity and specificity of the OralCDx technique: evaluation of 103 cases.,"In this study, we compared 103 OralCDx results with the histological findings of 96 clinical sites in 80 patients (33 females; 64.3+/-13.7 years and 47 males; 53.2+/-11.5 years). The histological findings were classified as follows: compatible with oral leukoplakia (OL; n = 60) or oral lichen planus (OLP; n = 17), both without dysplasia; dysplasia in OL or OLP (n = 9); and oral squamous cell carcinoma (OSCC; n = 17). There were seven (6.8%) specimens with an inadequate cell count. Overall, the sensitivity of the OralCDx technique to detect dysplasia and OSCC was 92.3% (95% CI: 74.9-99.1%), and the specificity was 94.3% (95% CI: 86.0-98.4%). The positive likelihood ratio (LR+) was 16.2 (95% CI: 6.2-42.1) and the negative likelihood ratio (LR-) was 0.08 (95% CI: 0.02-0.31). In conclusion, these figures are in agreement with previously published data and support the use of OralCDx as a screening tool of oral lesions, but further trials are still necessary."
CD010276,Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions," To estimate the diagnostic accuracy of index tests for the detection of oral cancer and potentially malignant disorders of the lip and oral cavity, in patients presenting with clinically evident lesions.",18214406,1,[Performance of conventional oral brush biopsies].,This study evaluated the performance of oral brush biopsies using standard morphological analysis and haematoxylin and eosin (HE) staining for detecting oral squamous cell carcinomas and their respective precursor lesions
CD010276,Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions," To estimate the diagnostic accuracy of index tests for the detection of oral cancer and potentially malignant disorders of the lip and oral cavity, in patients presenting with clinically evident lesions.",20161875,1,The usefulness of toluidine staining as a diagnostic tool for precancerous and cancerous oropharyngeal and oral cavity lesions.,"Toluidine blue stain is used as a marker to differentiate lesions at high risk of progression in order to improve early diagnosis of oropharyngeal carcinomas. This study focused on 45 oral mucosal lesions in 32 patients (13 female, 19 male). In 9 cases, multiple biopsies were collected. Of the 45 lesions examined, 26 (57.0%) were defined clinically benign, while 19 (42.3%) were defined as suspected lesions (premalignant or malignant). According to the clinical examination, the sensitivity was 53% (16/30) and for toluidine blue staining 96.2% (26/27) (p = 0.0007). The specificity was 80% (12/15) for clinical examination and 77.7% (14/15) for toluidine blue staining (p = 0.79). In conclusion toluidine blue stain has been shown to be a reliable aid when clinical examination is unable to differentiate lesions at high risk of progression and then it improves early diagnosis for oral cavity and oropharyngeal cancer."
CD010276,Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions," To estimate the diagnostic accuracy of index tests for the detection of oral cancer and potentially malignant disorders of the lip and oral cavity, in patients presenting with clinically evident lesions.",15288839,1,An audit of the efficacy of the oral brush biopsy technique in a specialist Oral Medicine unit.,"The diagnosis of oral epithelial dysplasia has traditionally been based upon histopathological evaluation of a full thickness biopsy specimen from lesional tissue. It has recently been proposed that cytological examination of ""brush biopsy"" samples is a non-invasive method of determining the presence of cellular atypia, and hence the likelihood of oral epithelial dysplasia. The present audit determined, retrospectively the sensitivity, specificity and positive and negative predictive values of the oral brush biopsy technique in the diagnosis of potentially malignant disease in a group of 112 patients attending a specialist Oral Medicine unit. The sensitivity of detection of oral epithelial dysplasia or squamous cell carcinoma of the oral brush biopsy system was 71.4% while the specificity was 32%. The positive predictive value of an abnormal brush biopsy result (positive or atypical) was 44.1%, while the negative predictive value was 60%. It is concluded that not all potentially malignant disease is detected with this non-invasive investigative procedure."
CD010276,Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions," To estimate the diagnostic accuracy of index tests for the detection of oral cancer and potentially malignant disorders of the lip and oral cavity, in patients presenting with clinically evident lesions.",15288838,1,The sensitivity and specificity of the OralCDx technique: evaluation of 103 cases.,"In this study, we compared 103 OralCDx results with the histological findings of 96 clinical sites in 80 patients (33 females; 64.3+/-13.7 years and 47 males; 53.2+/-11.5 years). The histological findings were classified as follows: compatible with oral leukoplakia (OL; n = 60) or oral lichen planus (OLP; n = 17), both without dysplasia; dysplasia in OL or OLP (n = 9); and oral squamous cell carcinoma (OSCC; n = 17). There were seven (6.8%) specimens with an inadequate cell count. Overall, the sensitivity of the OralCDx technique to detect dysplasia and OSCC was 92.3% (95% CI: 74.9-99.1%), and the specificity was 94.3% (95% CI: 86.0-98.4%). The positive likelihood ratio (LR+) was 16.2 (95% CI: 6.2-42.1) and the negative likelihood ratio (LR-) was 0.08 (95% CI: 0.02-0.31). In conclusion, these figures are in agreement with previously published data and support the use of OralCDx as a screening tool of oral lesions, but further trials are still necessary."
CD010276,Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions," To estimate the diagnostic accuracy of index tests for the detection of oral cancer and potentially malignant disorders of the lip and oral cavity, in patients presenting with clinically evident lesions.",15293118,1,[Noninvasive brush biopsy as an innovative tool for early detection of oral carcinomas].,The aim of this prospective study was to investigate the diagnostic accuracy of DNA image cytometry in combination with non-invasive brush biopsies taken from suspicious oral lesions.
CD010213,Imaging modalities for characterising focal pancreatic lesions, To determine and compare the diagnostic accuracy of various imaging modalities in detecting cancerous and precancerous lesions in people with focal pancreatic lesions.,18379300,1,Differential diagnosis of benign or malignant intraductal papillary mucinous neoplasm of the pancreas by multidetector row helical computed tomography: evaluation of predictive factors by logistic regression analysis.,The purpose of this study is to evaluate predictive factors for discriminating benign from malignant intraductal mucin-producing neoplasm (IPMN) of the pancreas on multidetector row computed tomography (MDCT).
CD010213,Imaging modalities for characterising focal pancreatic lesions, To determine and compare the diagnostic accuracy of various imaging modalities in detecting cancerous and precancerous lesions in people with focal pancreatic lesions.,25634486,1,"Diagnosis of pancreatic cysts: EUS-guided, through-the-needle confocal laser-induced endomicroscopy and cystoscopy trial: DETECT study.","The diagnosis of pancreatic cystic neoplasms (PCNs), which now depends on morphology, cytology, and fluid analysis, is still challenging. A novel confocal laser endomicroscopy probe that can be inserted through a 19-gauge FNA needle allows needle-based confocal laser endomicroscopy (nCLE), and the feasibility of nCLE has been reported in PCNs. The combination of cystoscopy by using a through-the-needle fiberoptic probe in combination with nCLE under EUS guidance may improve the diagnosis of PCNs."
CD010213,Imaging modalities for characterising focal pancreatic lesions, To determine and compare the diagnostic accuracy of various imaging modalities in detecting cancerous and precancerous lesions in people with focal pancreatic lesions.,19356336,1,Indications for endoscopic ultrasound and diagnosis on fine-needle aspiration and cytology.,To determine common indications for requesting Endoscopic Ultrasound (EUS) and to describe the diagnosis made after endoscopic ultrasound/Fine-Needle Aspiration and Cytology (FNAC) during two years at a tertiary gastrointestinal unit.
